"filename", "language", "JSON", "JavaScript", "Vue", "YAML", "TypeScript", "SCSS", "Properties", "comment", "blank", "total"
"e:\hc\外包\employee-Profiling\.env", "Properties", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\hc\外包\employee-Profiling\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\hc\外包\employee-Profiling\pnpm-lock.yaml", "YAML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"e:\hc\外包\employee-Profiling\src\App.vue", "Vue", 0, 0, -12, 0, 0, 0, 0, -5, -1, -18
"e:\hc\外包\employee-Profiling\src\api\api.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 13, 3, 46
"e:\hc\外包\employee-Profiling\src\api\type.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\hc\外包\employee-Profiling\src\components\loading\loading.vue", "Vue", 0, 0, 69, 0, 0, 0, 0, 0, 4, 73
"e:\hc\外包\employee-Profiling\src\components\userInfos\userInfos.vue", "Vue", 0, 0, 31, 0, 0, 0, 0, 29, 0, 60
"e:\hc\外包\employee-Profiling\src\layouts\components\HomeAside.vue", "Vue", 0, 0, 9, 0, 0, 0, 0, 1, 1, 11
"e:\hc\外包\employee-Profiling\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 2, 4, 19
"e:\hc\外包\employee-Profiling\src\stores\Matching.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 3, 5, 57
"e:\hc\外包\employee-Profiling\src\stores\chart.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 1, 3, 22
"e:\hc\外包\employee-Profiling\src\stores\employee.ts", "TypeScript", 0, 0, 0, 0, 379, 0, 0, 1, 10, 390
"e:\hc\外包\employee-Profiling\src\stores\loading.ts", "TypeScript", 0, 0, 0, 0, -8, 0, 0, -5, 1, -12
"e:\hc\外包\employee-Profiling\src\stores\performance.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"e:\hc\外包\employee-Profiling\src\styles\reset.scss", "SCSS", 0, 0, 0, 0, 0, -7, 0, 1, -1, -7
"e:\hc\外包\employee-Profiling\src\util\iconfont.js", "JavaScript", 0, -67, 0, 0, 0, 0, 0, 0, -1, -68
"e:\hc\外包\employee-Profiling\src\views\AccountManage\AccountManage.vue", "Vue", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"e:\hc\外包\employee-Profiling\src\views\Charts\components\PostChart.vue", "Vue", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"e:\hc\外包\employee-Profiling\src\views\Charts\components\SmallChart.vue", "Vue", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"e:\hc\外包\employee-Profiling\src\views\Charts\components\TagChart.vue", "Vue", 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
"e:\hc\外包\employee-Profiling\src\views\EmployeePortrait\EmployeePortrait.vue", "Vue", 0, 0, 55, 0, 0, 0, 0, 0, 6, 61
"e:\hc\外包\employee-Profiling\src\views\Information\components\InforFunction.vue", "Vue", 0, 0, 97, 0, 0, 0, 0, 0, 1, 98
"e:\hc\外包\employee-Profiling\src\views\Information\components\InforTable.vue", "Vue", 0, 0, -18, 0, 0, 0, 0, 0, -8, -26
"e:\hc\外包\employee-Profiling\src\views\Login\Login.vue", "Vue", 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingAnalyze.vue", "Vue", 0, 0, 73, 0, 0, 0, 0, 0, 11, 84
"e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingPost.vue", "Vue", 0, 0, 161, 0, 0, 0, 0, 0, 15, 176
"e:\hc\外包\employee-Profiling\src\views\ModelModification\ModelModification.vue", "Vue", 0, 0, 43, 0, 0, 0, 0, 0, 2, 45
"e:\hc\外包\employee-Profiling\src\views\OverallPortrait\components\OverallSelect.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\hc\外包\employee-Profiling\src\views\Performance\components\PerforFunction.vue", "Vue", 0, 0, 144, 0, 0, 0, 0, 0, 5, 149
"e:\hc\外包\employee-Profiling\src\views\Performance\components\PerforTable.vue", "Vue", 0, 0, 3, 0, 0, 0, 0, 0, -7, -4
"e:\hc\外包\employee-Profiling\src\views\Register\Register.vue", "Vue", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"e:\hc\外包\employee-Profiling\src\views\TagManage\TagManage.vue", "Vue", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"e:\hc\外包\employee-Profiling\vite.config.ts.timestamp-1693289664872-29d8ff1066e71.mjs", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 13, 3, 69
"Total", "-", 1, -14, 803, 6, 496, -7, 1, 54, 80, 1420
