"filename", "language", "Properties", "TypeScript", "Vue", "YAML", "JavaScript", "comment", "blank", "total"
"e:\hc\外包\employee-Profiling\.env", "Properties", -1, 0, 0, 0, 0, 0, 0, -1
"e:\hc\外包\employee-Profiling\.github\dependabot.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"e:\hc\外包\employee-Profiling\src\api\api.ts", "TypeScript", 0, 21, 0, 0, 0, 10, 0, 31
"e:\hc\外包\employee-Profiling\src\api\type.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 5, 81
"e:\hc\外包\employee-Profiling\src\components\userInfos\userInfos.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 5
"e:\hc\外包\employee-Profiling\src\layouts\components\HomeAside.vue", "Vue", 0, 0, 18, 0, 0, 1, 1, 20
"e:\hc\外包\employee-Profiling\src\router\index.ts", "TypeScript", 0, 24, 0, 0, 0, 1, 0, 25
"e:\hc\外包\employee-Profiling\src\stores\Matching.ts", "TypeScript", 0, -65, 0, 0, 0, -4, -10, -79
"e:\hc\外包\employee-Profiling\src\stores\matching.ts", "TypeScript", 0, 66, 0, 0, 0, 4, 10, 80
"e:\hc\外包\employee-Profiling\src\stores\model.ts", "TypeScript", 0, 342, 0, 0, 0, 18, 9, 369
"e:\hc\外包\employee-Profiling\src\views\ExamineApprove\ExamineApprove.vue", "Vue", 0, 0, 138, 0, 0, 0, 10, 148
"e:\hc\外包\employee-Profiling\src\views\Information\components\InforFunction.vue", "Vue", 0, 0, 6, 0, 0, 0, 0, 6
"e:\hc\外包\employee-Profiling\src\views\Information\components\InforTable.vue", "Vue", 0, 0, -1, 0, 0, 0, 0, -1
"e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingAnalyze.vue", "Vue", 0, 0, 8, 0, 0, 0, -1, 7
"e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingPost.vue", "Vue", 0, 0, 12, 0, 0, 0, -1, 11
"e:\hc\外包\employee-Profiling\src\views\ModelModification\ModelModification.vue", "Vue", 0, 0, 109, 0, 0, 0, 4, 113
"e:\hc\外包\employee-Profiling\src\views\ModelModification\components\CreatedDialog.vue", "Vue", 0, 0, 385, 0, 0, 1, 11, 397
"e:\hc\外包\employee-Profiling\src\views\ModelModification\components\DeleteDiaglog.vue", "Vue", 0, 0, 8, 0, 0, 0, 5, 13
"e:\hc\外包\employee-Profiling\src\views\ModelModification\components\EditDialog.vue", "Vue", 0, 0, 385, 0, 0, 1, 10, 396
"e:\hc\外包\employee-Profiling\src\views\Performance\components\PerforFunction.vue", "Vue", 0, 0, 13, 0, 0, 0, -1, 12
"e:\hc\外包\employee-Profiling\vite.config.ts.timestamp-1693289664872-29d8ff1066e71.mjs", "JavaScript", 0, 0, 0, 0, -53, -13, -3, -69
"Total", "-", -1, 464, 1086, 9, -53, 19, 50, 1574
