"filename", "language", "TypeScript", "Vue", "comment", "blank", "total"
"e:\hc\外包\employee-Profiling\src\api\api.ts", "TypeScript", 9, 0, 6, 1, 16
"e:\hc\外包\employee-Profiling\src\api\type.ts", "TypeScript", 7, 0, 0, 0, 7
"e:\hc\外包\employee-Profiling\src\layouts\components\HomeHeader.vue", "Vue", 0, 11, 0, 0, 11
"e:\hc\外包\employee-Profiling\src\router\index.ts", "TypeScript", 4, 0, 0, 0, 4
"e:\hc\外包\employee-Profiling\src\stores\approval.ts", "TypeScript", 57, 0, 22, 9, 88
"e:\hc\外包\employee-Profiling\src\stores\model.ts", "TypeScript", 12, 0, 3, 1, 16
"e:\hc\外包\employee-Profiling\src\stores\performance.ts", "TypeScript", 0, 0, 10, 0, 10
"e:\hc\外包\employee-Profiling\src\views\Charts\Charts.vue", "Vue", 0, 21, -1, 1, 21
"e:\hc\外包\employee-Profiling\src\views\Charts\components\SmallChart.vue", "Vue", 0, 4, 0, 0, 4
"e:\hc\外包\employee-Profiling\src\views\EmployeePortrait\EmployeePortrait.vue", "Vue", 0, 2, 0, 0, 2
"e:\hc\外包\employee-Profiling\src\views\ExamineApprove\ExamineApprove.vue", "Vue", 0, -34, 0, -2, -36
"e:\hc\外包\employee-Profiling\src\views\Information\components\InforTable.vue", "Vue", 0, 1, 0, 0, 1
"e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingAnalyze.vue", "Vue", 0, 11, 0, 0, 11
"e:\hc\外包\employee-Profiling\src\views\Matching\components\MatchingPost.vue", "Vue", 0, 28, 0, 0, 28
"e:\hc\外包\employee-Profiling\src\views\ModelModification\ModelModification.vue", "Vue", 0, -2, 0, -1, -3
"e:\hc\外包\employee-Profiling\src\views\ModelModification\components\CreatedDialog.vue", "Vue", 0, 9, 0, -1, 8
"e:\hc\外包\employee-Profiling\src\views\ModelModification\components\EditDialog.vue", "Vue", 0, 32, 0, 1, 33
"e:\hc\外包\employee-Profiling\src\views\OverallPortrait\OverallPortrait.vue", "Vue", 0, 2, 0, 0, 2
"e:\hc\外包\employee-Profiling\src\views\OverallPortrait\components\OverallSelect.vue", "Vue", 0, 9, 0, 0, 9
"e:\hc\外包\employee-Profiling\src\views\Performance\components\PerforFunction.vue", "Vue", 0, 7, 0, 3, 10
"Total", "-", 89, 101, 40, 12, 242
