Date : 2024-03-21 23:08:07
Directory : e:\vscode-workspace\me\employee-profiling
Total : 161 files,  1482 codes, 115 comments, 152 blanks, all 1749 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |         10 |        959 |          0 |        127 |      1,086 |
| TypeScript         |         42 |        385 |         21 |         18 |        424 |
| JSON               |          5 |         99 |          0 |          1 |        100 |
| Vue                |         80 |         37 |         96 |          5 |        138 |
| JSON with Comments |          2 |          2 |         -2 |          0 |          0 |
| Properties         |          2 |          0 |          0 |          1 |          1 |
| HTML               |          2 |          0 |          0 |          0 |          0 |
| Markdown           |          2 |          0 |          0 |          0 |          0 |
| XML                |          6 |          0 |          0 |          0 |          0 |
| JavaScript         |          4 |          0 |          0 |          0 |          0 |
| SCSS               |          6 |          0 |          0 |          0 |          0 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        161 |      1,482 |        115 |        152 |      1,749 |
| . (Files)                                                                                          |         12 |      6,932 |         17 |      1,009 |      7,958 |
| ..                                                                                                 |         76 |    -17,543 |       -247 |     -1,501 |    -19,291 |
| ..\..                                                                                              |         76 |    -17,543 |       -247 |     -1,501 |    -19,291 |
| ..\..\..                                                                                           |         76 |    -17,543 |       -247 |     -1,501 |    -19,291 |
| ..\..\..\hc                                                                                        |         76 |    -17,543 |       -247 |     -1,501 |    -19,291 |
| ..\..\..\hc\外包                                                                                     |         76 |    -17,543 |       -247 |     -1,501 |    -19,291 |
| ..\..\..\hc\外包\employee-Profiling                                                                  |         76 |    -17,543 |       -247 |     -1,501 |    -19,291 |
| ..\..\..\hc\外包\employee-Profiling (Files)                                                          |         11 |     -5,882 |        -19 |       -890 |     -6,791 |
| ..\..\..\hc\外包\employee-Profiling\.github                                                          |          1 |         -9 |          0 |         -1 |        -10 |
| ..\..\..\hc\外包\employee-Profiling\public                                                           |          1 |     -2,214 |          0 |         -1 |     -2,215 |
| ..\..\..\hc\外包\employee-Profiling\src                                                              |         63 |     -9,438 |       -228 |       -609 |    -10,275 |
| ..\..\..\hc\外包\employee-Profiling\src (Files)                                                      |          3 |        -57 |         -1 |        -15 |        -73 |
