"filename", "language", "Properties", "JSON", "JSON with Comments", "TypeScript", "YAML", "HTML", "Markdown", "XML", "Vue", "JavaScript", "SCSS", "comment", "blank", "total"
"e:\vscode-workspace\me\employee-profiling\.env", "Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\vscode-workspace\me\employee-profiling\.eslintrc-auto-import.json", "JSON", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 104
"e:\vscode-workspace\me\employee-profiling\.eslintrc.yml", "YAML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"e:\vscode-workspace\me\employee-profiling\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\vscode-workspace\me\employee-profiling\.github\dependabot.yml", "YAML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\vscode-workspace\me\employee-profiling\.github\workflow\test.yml", "YAML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 12, 45
"e:\vscode-workspace\me\employee-profiling\.prettierrc.yaml", "YAML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"e:\vscode-workspace\me\employee-profiling\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 8, 21
"e:\vscode-workspace\me\employee-profiling\commitlint.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 4, 1, 11
"e:\vscode-workspace\me\employee-profiling\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"e:\vscode-workspace\me\employee-profiling\package.json", "JSON", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"e:\vscode-workspace\me\employee-profiling\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 6556, 0, 0, 0, 0, 0, 0, 0, 982, 7538
"e:\vscode-workspace\me\employee-profiling\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2214, 0, 0, 0, 0, 1, 2215
"e:\vscode-workspace\me\employee-profiling\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"e:\vscode-workspace\me\employee-profiling\src\api\api.ts", "TypeScript", 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 85, 9, 290
"e:\vscode-workspace\me\employee-profiling\src\api\type.ts", "TypeScript", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 14, 211
